title,text,sport
Afghanistan dominate Ireland to win T20I series,"Afghanistan proved too strong with bat and ball against Ireland as they claimed a 57-run victory in Sharjah on Monday to edge the T20I series 2-1. A superb 72 not out from Ibrahim Zadran, backed up by the bowling of Azmatullah Omarzai, gave the hosts victory in the final match of Ireland’s tour against Afghanistan. “It is a great series win for us,” said Afghanistan captain Rashid Khan, going on to praise the performance of his young side. The Irish were unable to chase down a target of 156, with Omarzai’s four wickets for just nine runs helping bowl the tourists out for 98 inside 18 overs. Ireland won the first T20I of the mini-series last week but consecutive wins on Sunday and Monday ensured Afghanistan recovered to take the three-game series, after earlier winning the ODI series 2-0. For the third consecutive time, Khan won the toss against Ireland and as he did in Monday’s 10-run win, he elected to bat first. Batting at three, 22-year-old Zadran anchored Afghanistan’s innings with his career-best T20I score of 72, which boosted the hosts to a total Ireland could not match. Opener Rahmanullah Gurbaz rounded off a T20I series he will hope to forget on a personal level, after scores of zero and three in the first two matches, when Harry Tector took a superb diving catch to dismiss him for six at the start of the third over. Afghanistan were then ticking along nicely with Zadran and Sediqullah Atal at the crease, until Atal chipped a turning ball straight back to Gareth Delany. In the very next over, Omarzai, on back-to-back golden ducks, was dropped by Delany on one but departed just two deliveries later, after lobbing Curtis Campher to Josh Little. Mohammad Ishaq’s arrival steadied the ship for Afghanistan as he mounted a crucial fourth-wicket stand of 54 with Zadran, until the No 5 mistimed a lob on 27 and Paul Stirling snaffled up the ball. With just over five overs left, Zadran kept the scoreboard moving along for Afghanistan. Ijaz Ahmadzai ably deputized him at the end with 10 runs from three balls, including a monster six in the last over, before he was run out trying to get his partner back on strike for the final delivery. Ireland’s run chase never really got underway, especially after Naveen-ul-Haq bowled both Andy Balbirnie and Lorcan Tucker with consecutive deliveries in the second over. Some resistance came from Campher and Delany’s 36-run sixth-wicket stand but the visitors were never really allowed to form any partnership of great merit by Afghanistan’s pace attack. Omarzai, 23, claimed the key wickets of Tector and George Dockrell, before removing Mark Adair and Barry McCarthy as Afghanistan took apart the Irish batting line-up. Naveen-ul-Haq then bowled Ben White with a slower ball, bringing a close to affairs and securing Afghanistan a tight series win ahead of this summer’s T20 World Cup. Despite defeat, Ireland will still view the tour as an historic success after they won their very first test match on March 1. – AFP",cricket
‘Electrical Man’ provides spark for overstretched Afghanistan at Asian Games,"None of the countries and regions participating in the Cricket slugging it out in Hangzhou have faced quite the same challenge as Afghanistan in selecting two sides to compete concurrently in major events 4,000km apart, but when one of your second string is nicknamed “Electrical Man “, then anything is possible. Qais Ahmad Kamawal sparked his Asian Games teammates into life during a surprise quarterfinal victory over defending champions Sri Lanka. “They call me ‘Electrical Man’ because I am so quick and so fast,” Kamawal said after taking three wickets and holding two sharp catches as Sri Lanka fell eight runs short of their modest 116 victory target. “We knew the game was low scoring and we were pretty confident in our spinners to win us the match,” Kamawal said. Team captain Gulbadin Naib is one of a clutch of 50-over internationals in the Afghanistan team and he may yet be diverted to Delhi as cover once the competition in Hangzhou is concluded. “Every guy in the team is like a superstar in Afghanistan. Kamawal is so hard-working. He’s everywhere,” Naib said. India, Pakistan, Sri Lanka and Bangladesh are also competing in Cricket on two fronts for the next few days, but as more established cricketing teams, they are better equipped to deal with the accompanying logistical issues. “Sport has always proved that it will bring more happiness to Afghanistan and the Afghan people. It is not only now, but also in the past. “ Kamawal is hoping to create more such opportunities in Friday’s crunch semifinal against neighboring Pakistan.",cricket
Suliman Safi to lead Afghanistan at the ICC U19 Cricket World Cup 2022,"Left-hand top-order batter Suliman Safi will lead the 20-member Afghanistan U19 squad in the ICC U19 Men’s Cricket World Cup which will be played in January and February next year in the West Indies. The Afghan Cricket Board (ACB) said in a statement that Safi will also captain the team in the U19 Asia Cup that will be played in the UAE later this month. The West Indies will host the ICC Under 19 Men’s Cricket World Cup which will feature 16 countries in 48 matches. The tournament will be held from 14 January to 5 February. The Under 19 Men’s Cricket World Cup has developed a reputation as an event that not only offers excellent competition and entertainment but also showcases future stars of the game. Virat Kohli, Babar Azam, Joe Root, Steve Smith, Kane Williamson and Shimron Hetmyer are among the famous names to have competed in recent editions of the tournament. The tournament will utilize ten venues in four Caribbean countries – Antigua and Barbuda, Guyana, St Kitts and Nevis and Trinidad and Tobago. But New Zealand will not be present, with the team having to withdraw due to the mandatory quarantine restrictions for minors that they would have faced on their return journey from the tournament. Scotland replaces the Black Caps in the tournament. In the group stage, Afghanistan will face Pakistan, Papua New Guinea and Zimbabwe.",cricket
AFC U17 Men’s Asian Cup Saudi Arabia 2026 Draw sets stage for continental showdown,"The final draw for the AFC U17 Men’s Asian Cup Saudi Arabia 2026 took place today, Thursday February 12, confirming the group-stage line-up for Asia’s premier youth football tournament and setting the stage for a highly competitive continental battle. Sixteen teams have been drawn into four groups of four, with each side aiming not only for continental success but also qualification for the FIFA U17 World Cup Qatar 2026. The top two teams from each group will advance to the quarterfinals and secure their places at the global showpiece. Hosts Saudi Arabia headline the tournament as top seeds, joined by Asia’s leading youth football nations and several emerging teams that impressed during the qualification phase. The draw balanced traditional powerhouses with ambitious newcomers, promising closely contested matches throughout the group stage. Scheduled to take place from May 5 to May 22, 2026, the 21st edition of the AFC U17 Men’s Asian Cup will once again serve as a key platform for the continent’s brightest young talents to showcase their potential on the international stage. With the groups now confirmed, preparations intensify as teams turn their focus toward tactical planning and squad development ahead of what is expected to be a thrilling tournament in Saudi Arabia.",football
India upbeat over Champions Trophy win against New Zealand,"India’s Shubman Gill on Saturday said the team will look to win the Champions Trophy final against New Zealand to get over their 2023 ODI World Cup title defeat. The final on Sunday in Dubai will decide the winner of the eight-nation tournament played in Pakistan and the United Arab Emirates. “I am quite excited,” vice-captain Gill told reporters. “My second ICC event for team India and second final. The last time which we couldn’t do, we will try to do it this time.” India went down to Australia in the 50-over World Cup final in November 2023 on home soil in Ahmedabad in a heartbreaking defeat for the team, which had come into the title clash unbeaten, AFP reported. However, Rohit Sharma’s team eased the heartache of fans a few months later when they lifted the 2024 T20 World Cup title — India’s first victory in a major global event since the 2013 Champions Trophy. Gill, who was not part of the T20 triumph, said the ICC title in Barbados allows the team to go into Sunday’s final without any baggage. “It’s also about once you get one title that kind of breaks the jinx and then it gives you the momentum and also you are not desperate about getting the title,” said Gill. “Winning the title in 2024 doesn’t mean that we are less hungry, but it kind of gives us more balance that we have won an ICC title and we will try to do our best to win this one.” India come into the title clash unbeaten in four matches after they went past Australia in the semi-final to eye a third Champions Trophy crown, AFP reported. India have played all their matches in Dubai after they refused to tour hosts Pakistan due to political tensions. Gill said the importance of a final does come into the equation when they walk out but a champion team knows how to handle pressure. “The big-match pressure is always there,” said Gill. “This is the reason why we talk about big teams of previous years, including West Indies and Australia. Those teams played their best cricket in knock-outs. Easier said than done, but good teams play their best cricket under pressure.” Virat Kohli has been in top form as he hit an unbeaten 100 against arch-rivals Pakistan in a group game and hit 84 in another successful chase in the semi-final. Rohit has been slammed for not converting his starts into bigger scores, but his quick cameos have nonetheless allowed the team to build totals. Gill, who opens with Rohit, said India’s batting depth has allowed the top-order to bat freely. “I think this is the best batting line-up that I have been part of,” said Gill. “Rohit, Virat, I think all-time one-day greats. Rohit one of the best openers in white-ball and Virat one of the best ODI batsman ever,” he said. Fans across Afghanistan can tune in to watch the final live and exclusively in the country on Ariana Television. The final gets underway at 1:30pm Kabul time.",cricket
Afghanistan set to face New Zealand in defining WC match,"Two teams, who have never played each other outside of World Cups, and never in a T20 International before, are ready to face off on Sunday in what is clearly a defining match for not two but three teams. The Super 12 match at the T20 Men’s ICC World Cup will see Afghanistan play New Zealand, but for India, the outcome of the match will decide their fate going forward. While there’s only ever been two ODIs between Afghanistan and New Zealand, the lack of familiarity between New Zealand and Afghanistan adds a bit of uncertainty to Sunday’s match, which is Afghanistan’s last-ditch attempt to secure a spot in the semi-finals. However, it is also New Zealand’s last chance. If Afghanistan win An Afghanistan win opens up all sorts of scenarios. It would take the team to six points, drawing them level on points with New Zealand and likely second courtesy of superior net run-rate. That being said, a victory over New Zealand would not be enough to lock down Afghanistan’s spot in the semi-finals. For Afghanistan, net run-rate will be key and they’ll have an eye on India’s game against Namibia on Monday. India will go into that match knowing exactly what they need to do to leapfrog both New Zealand and Afghanistan on NRR. The situation for New Zealand: Eliminated The situation for Afghanistan: Through to the semi-finals if India lose or if they finish with an inferior net run-rate The situation for India: Through to semi-finals if they beat Namibia and secure a superior NRR than both Afghanistan and New Zealand. If New Zealand win A New Zealand victory presents the most straightforward of scenarios. The Black Caps can lock down their spot in the semi-finals by beating Afghanistan as it would take them to eight points, out of reach of India and leaving Mohammad Nabi’s team on four. If New Zealand win and Pakistan suffer a surprise loss to Scotland, the Black Caps could finish the group on top spot courtesy of a superior net run-rate. The situation for New Zealand: Locked in for the semi-finals with a chance at top in the group The situation for Afghanistan: Eliminated The situation for India: Eliminated Sunday’s match starts at 2.30pm Kabul time and will be played in Abu Dhabi.",cricket
Afghanistan’s Zadran to miss New Zealand test due to injury,"Afghanistan bowler Naveed Zadran will miss next week’s test match against New Zealand with a side strain injury, the Afghan cricket board said on Friday. The 19-year-old, who has taken nine wickets in his two tests, has been told to rest for three to four weeks in the hope of recovering before this month’s One-Day International series against South Africa, the board posted on X. Allrounder Rashid Khan has also been ruled out with a back injury. Afghanistan, who play their home matches outside the country, will host New Zealand in a one-off test in India from Monday, before playing three one-day internationals against South Africa in the United Arab Emirates starting Sept. 18.",cricket
Afghanistan makes history with first ever win over South Africa,"A brilliant bowling display propelled Afghanistan to their first win over South Africa in international cricket on Wednesday night after they bundled their African opponents out for 106 in the first of three ODIs. The stars of the match were undoubtedly Fazalhaq Farooqi and 18-year-old sensation Mohammad Ghazanfar who shared seven wickets between them. Having won the toss, South Africa opted to bat first only to be jolted by Farooqi’s early strikes. The left-arm pacer came around the wicket to account for Reeza Hendricks and Aiden Markram early on. He added the wicket of Tony de Zorzi before Ghazanfar worked his magic on the middle-order, dismissing Tristan Stubbs and debutant Jason Smith for ducks in the same over. South Africa, reduced to 29/5, soon crumbled to 36/7 as Ghazanfar snared the wicket of Kyle Verreynne and Andile Phehlukwayo succumbed to a run out. An eighth-wicket partnership of 39 between Wiaan Mulder and Bjorn Fortuin, however, saw them past the danger and threatened to rebuild the innings. Fortuin was bowled by Rashid Khan, playing his first ODI since last year’s World Cup, but Mulder dragged them past the hundred mark, going on to reach his first ODI fifty. He fell shortly afterwards to Farooqi, his 52 coming from 84 balls with five fours and a six. Rashid wrapped up the innings in 33.3 overs when he had Lungi Ngidi leg before to finish with 2-30. Afghanistan will play the second of three ODI’s against South Africa on Friday.",cricket
Superb Scotland stun West Indies in Hobart victory,"Scotland has made it a second consecutive day of upsets at the ICC Men’s T20 World Cup in Australia by recording a stunning 42-run victory over the West Indies in Hobart on Monday. Opener George Munsey set the tone by carrying his bat throughout at Bellerive Oval to finish with a stylish 66 from just 53 deliveries as Scotland amassed 160/5 from their 20 overs. Scotland held on to some excellent outfield catches and showed the rest of the world they will be difficult to beat at the tournament. Much was made of the new West Indies’ era with veterans Dwayne Bravo and Chris Gayle gone and the likes of Andre Russell and Sunil Narine on the outer, but Nicholas Pooran’s side were overpowered on the big stage and dismissed for 118 in the penultimate over. However there was not much joy for the West Indies who were outplayed in all aspects of the game by a Scotland side that were on a mission. Just like Sri Lanka a day earlier, the West Indies now face a must-win encounter in their next match when they take on Zimbabwe in Hobart on Wednesday evening. The West Indies are the only team at the T20 World Cup with two titles to their name, so bowing out in the First Round would not be seen as a good result for the Caribbean side. Scotland will battle it out against fellow European side Ireland in Hobart on Wednesday afternoon and a victory there could see Berrington’s men qualify for the Super 12 stage.",cricket
Four Afghans included in Refugee Olympic Team for Paris 2024,"The International Olympic Committee on Thursday confirmed the list of athletes who will form the IOC Refugee Olympic Team for the Paris 2024 games – of which four are from Afghanistan. The four athletes are Amir Ansari, who will participate in the road cycling event; Arab Sibghatullah, in judo; Farzad Mansouri, in taekwondo; and Nigara Shaheen, in judo. A total of 36 athletes from 11 different countries of origin will form the team. They will compete in 12 different sports: aquatics (swimming), athletics, badminton, boxing, breaking, canoe (slalom and sprint), cycling (road), judo, shooting, taekwondo, weightlifting, and wrestling (freestyle and Greco-Roman). IOC President Thomas Bach made the announcement during a ceremony at Olympic House in Lausanne, Switzerland, on Thursday (2 May). He said: “We welcome all of you with open arms. You are an enrichment to our Olympic Community, and to our societies. “With your participation in the Olympic Games, you will demonstrate the human potential of resilience and excellence. This will send a message of hope to the more than 100 million displaced people around the world.” The IOC Refugee Olympic Team is competing at the Olympic Games for the third time, after previous appearances at Rio 2016 and Tokyo 2020. This year, its chef-de-mission will be Masomah Ali Zada, who competed as a member of the IOC Refugee Olympic Team Tokyo 2020. Afghanistan’s athlete profiles: Amir Ansari Cycling Road Amir was born in Iran but grew up in Afghanistan, before he fled in 2015. Since then, Amir has sought refuge in Sweden and trains with the Stockholm Cycling Club. He has participated in national and international championships in time trial and road race competitions as part of the Stockholm CK team and UCI Refugee Team. Arab Sibghatullah Judo Sibghatullah’s journey in Judo began when he was just eight years old in Kunduz province, Afghanistan. His talent earned him a spot on the Afghanistan National Youth Judo team at the age of nineteen. When he left the country, he traveled overland through several countries, including Iran, Türkiye, Greece, Bosnia, and Slovenia, before finally arriving in Germany in November 2022. Today, as a Refugee Athlete Scholarship-holder, Sibghatullah trains with the 1. Judo-Club in Mönchengladbach, Germany, and dedicates two days per week to training at a training camp in Köln. His hard work and dedication paid off when he secured 7th place at the European Open Madrid in the summer of 2023. He firmly believes in the importance of consistency and never misses a morning in the gym. Farzad Mansouri Taekwondo Farzad was born in Parwan, Afghanistan. Representing Afghanistan, he won a silver medal at the 2019 Asian Junior Taekwondo Championships in Amman and was the flagbearer for Afghanistan at the Opening Ceremony of the Tokyo 2020 Olympic Games. Soon after the Games, Farzad left Afghanistan and today he trains alongside Great Britain (GB) Taekwondo athletes and continues to improve his English. His focus is on performing his best at the Paris 2024 Olympic Games. Nigara Shaheen Female judoka Born in Afghanistan, Nigara is a judoka who competes in the -70kg category. She took up judo when she was 11, living as a refugee in Peshawar, Pakistan, as practicing martial arts was a family tradition. She has a master’s degree in international trade from the Ural Federal University in Ekaterinburg. Since September 2022, she has been living in Canada, where she studies and trains. As a member of the IJF Refugee Team, she participated in the Düsseldorf Grand Slam in 2020 and the Kazan Grand Slam in 2021. She was a member of the IOC Refugee Olympic Team Tokyo 2020 in the individual and mixed team events. Broadcasting rights Ariana Television Network (ATN) will officially broadcast this year’s Olympic Games exclusively on Ariana Television. The games will start on Friday, July 26 and run through to Sunday August 11.",unknown
